city,latitude,longitude
Balatonkeresztúr,46.69743,17.37076
Balatonlelle,46.78318,17.69498
Balatonmagyaród,46.59593,17.17573
Balatonmáriafürdő,46.70559,17.37072
Balatonőszöd,46.80619,17.80033
Balatonrendes,46.82698,17.5835
Balatonszabadi,46.89397,18.13737
Balatonszárszó,46.82946,17.82426
Balatonszemes,46.80972,17.78048
Balatonszentgyörgy,46.68762,17.30239
Balatonszepezd,46.85627,17.66667
Balatonszőlős,46.96565,17.8261
Balatonudvari,46.90421,17.80347
Balatonújlak,46.67385,17.38548
Balatonvilágos,46.96268,18.16043
Balinka,47.31345,18.18954
Balkány,47.77066,21.86314
Ballószög,46.86216,19.57092
Balmazújváros,47.61667,21.35
Balogunyom,47.15884,16.64892
Balotaszállás,46.35102,19.54027
Balsa,48.18333,21.55
Bálványos,48.2,21.66667
Bálványos,46.78066,17.9512
Bana,47.65171,17.92181
Bánd,47.12213,17.7812
Bánfa,45.9945,17.87925
Bánhorváti,48.23333,20.51667
Bánk,47.46667,21.73333
Bánk,47.92503,19.17356
Bánokszentgyörgy,46.54823,16.78442
Bánréve,48.3,20.36667
Bár,46.05313,18.71644
Barabás,48.23333,22.43333
Baracs,46.98333,19.41667
Baracs,46.88202,18.90658
Baracska,47.28225,18.75853
Báránd,47.3,21.23333
Baranyahídvég,45.84639,18.02333
Baranyajenő,46.27275,18.04486
Baranyaszentgyörgy,46.24451,18.01393
Barbacs,47.64525,17.29756
Barcs,45.96,17.45861
Bárdudvarnok,46.3264,17.68614
Barlahida,46.71675,16.70114
Bárna,48.05442,19.9541
Bárna,48.10038,19.93552
Barnag,46.97932,17.74775
Bársonyos,48.46667,21.2
Bársonyos,47.51024,17.91859
Basal,46.07343,17.78391
Baskó,48.33333,21.33333
Báta,46.31332,18.7454
Báta,46.12864,18.77027
Bátaapáti,46.22199,18.6007
Bátaszék,46.19373,18.72307
Baté,46.35937,17.96399
Bátmonostor,46.10216,18.9285
Bátonyterenye,47.96962,19.84076
Bátor,47.98333,20.26667
Bátorliget,47.76218,22.27255
Battonya,46.28333,21.01667
Battonya,46.28333,21.01667
Bátya,46.488,18.95419
Batyk,46.99271,17.04042
Bázakerettye,46.52333,16.72944
Bazsi,46.93474,17.24357
Béb,47.34477,17.59905
Becsehely,46.44755,16.7771
Becske,47.92328,19.34997
Becske,47.90924,19.37629
Becskeháza,48.5295,20.83548
Becsvölgye,46.76215,16.68694
Bedegkér,46.6491,18.06016
Bedő,47.16667,21.75
Bejcgyertyános,47.15131,16.92278
Békás,47.25,20.76667
Békás,46.76667,21.13333
Békás,47.33333,19.95
Békás,47.33285,17.35183
Bekecs,48.15,21.18333
Békés,46.76667,21.13333
Békéscsaba,46.68333,21.1
Békéssámson,46.41667,20.63333
Békésszentandrás,46.86667,20.48333
Bekölce,48.08333,20.28333
Bélapátfalva,48.05,20.36667
Bélavár,46.12219,17.2165
Belecska,46.64272,18.41468
Beled,47.46594,17.09294
Beleg,46.31827,17.41022
Belezna,46.32778,16.94
Bélmegyer,46.86667,21.18333
Beloiannisz,47.1824,18.82384
Belsősárd,46.64344,16.47166
Belvárdgyula,45.97298,18.43294
Benk,48.29928,22.24329
Bénye,47.3539,19.54324
Bér,47.86572,19.50219
Bérbaltavár,47.00729,16.96198
Bercel,47.87057,19.40715
Beregdaróc,48.2,22.53333
Beregsurány,48.1662,22.552
Berekböszörmény,47.06667,21.68333
Berekfürdő,47.38333,20.85
Beremend,45.79108,18.43263
Berente,48.23333,20.66667
Beret,48.35,21.03333
Berettyóújfalu,47.22362,21.53656
Berhida,47.11131,18.12948
Berkenye,47.88884,19.07356
Berkesd,46.07565,18.40883
Berkesz,48.09707,21.97912
Bernecebaráti,48.03426,18.91432
Berzék,48.01667,20.95
Berzence,46.20907,17.1481
Besence,45.8956,17.96635
Besenyőd,47.9688,22.01649
Besenyőtelek,47.7,20.43333
Besenyszög,47.3,20.26667
Besnyő,47.18873,18.79302
Besnyő,47.14772,19.9118
Beszterec,48.17092,21.83309
Beszterec,48.16409,21.84003
Bezedek,45.86472,18.58639
Bezenye,47.96046,17.21545
Bezeréd,46.8707,17.01558
Bezi,47.67373,17.39123
Biatorbágy,47.4706,18.81892
Bicsérd,46.02295,18.08132
Bicske,47.48419,18.64404
Bihardancsháza,47.23333,21.31667
Biharkeresztes,47.13333,21.71667
Biharnagybajom,47.21667,21.23333
Bihartorda,47.21667,21.36667
Biharugra,46.96667,21.6
Bikács,46.67745,18.66723
Bikal,46.33109,18.28296
Biri,47.81667,21.85
Birján,45.99789,18.37502
Bisse,45.9093,18.25948
Boba,47.18279,17.18737
Bocfölde,46.78333,16.83333
Boconád,47.63333,20.2
Bócsa,46.60971,19.48437
Bocska,46.55374,16.91158
Bocskaikert,47.64366,21.6601
Boda,46.08061,18.04901
Bodajk,47.32352,18.23312
Bodmér,47.45,18.53502
Bodolyabér,46.2014,18.11114
Bodonhely,47.56365,17.40786
Bodony,47.94343,20.02315
Bodorfa,47.07605,17.34206
Bodorfa,46.01209,17.85589
Bodrog,48.11667,21.41667
Bodrog,46.49437,17.65039
Bodroghalom,48.3,21.71667
Bodrogkeresztúr,48.16667,21.36667
Bodrogkisfalud,48.18333,21.36667
Bodrogolaszi,48.28333,21.51667
Bódvalenke,48.54237,20.80439
Bódvarákó,48.51667,20.75
Bódvaszilas,48.53333,20.73333
Bogács,47.9,20.53333
Bogád,46.08732,18.32306
Bogádmindszent,45.90694,18.04056
Bogdása,45.8756,17.79027
Bogyiszló,46.38638,18.82962
Bogyoszló,47.56119,17.18443
Bojt,47.2,21.73333
Bókaháza,46.77387,17.1054
Bokod,47.49186,18.24743
Bokod,46.7,18.18333
Bokor,47.93295,19.54029
Boldog,47.60285,19.68839
Boldogasszonyfa,46.18358,17.8379
Boldogkőújfalu,48.31853,21.24142
Boldogkőváralja,48.33333,21.23333
Boldva,48.21667,20.8
Bolhás,46.26477,17.27088
Bolhó,46.03859,17.29732
Bóly,45.96722,18.51833
Boncodfölde,46.86903,16.73744
Bonyhád,46.29921,18.53024
Bonyhád,46.32145,18.55193
Bonyhádvarasd,46.36885,18.48021
Bonnya,46.5963,17.90277
Bordány,46.31843,19.92306
Borgáta,47.16154,17.08028
Borjád,46.5567,18.58965
Borjád,46.50429,18.08985
Borjád,45.93389,18.46722
Borota,46.26604,19.22278
Borsfa,46.51796,16.77882
Borsodbóta,48.21667,20.4
Borsodgeszt,47.95,20.7
Borsodivánka,47.7,20.66667
Borsodnádasd,48.11667,20.25
Borsodszentgyörgy,48.18333,20.2
Borsodszirák,48.26667,20.76667
Borsosberény,47.97427,19.11682
Borszörcsök,47.13464,17.40665
Borzavár,47.29064,17.82909
Bosta,45.95036,18.21076
Botpalád,48.02866,22.80668
Botykapeterd,46.05049,17.86659
Bozzai,47.20731,16.76536
Bozsok,46.83333,16.88333
Bozsok,47.32442,16.49035
Bózsva,48.45,21.65
Bózsva,48.46667,21.46667
Bő,47.36783,16.8149
